EUR/USD,20090531 21:35:18.342,1.41412,1.41439
EUR/USD,20090531 21:35:28.765,1.41421,1.41439
EUR/USD,20090531 21:35:28.842,1.41423,1.41442
EUR/USD,20090531 21:35:29.025,1.41423,1.41429
EUR/USD,20090531 21:35:29.344,1.41421,1.41429
EUR/USD,20090531 21:35:31.022,1.41418,1.41419
EUR/USD,20090531 21:35:31.344,1.41404,1.41419
EUR/USD,20090531 21:35:32.771,1.41404,1.4142
EUR/USD,20090531 21:35:32.844,1.41412,1.41439
EUR/USD,20090531 21:35:33.033,1.41431,1.41439
EUR/USD,20090531 21:35:33.345,1.41433,1.41448
EUR/USD,20090531 21:35:34.346,1.41412,1.41439
EUR/USD,20090531 21:35:35.344,1.41429,1.41467
EUR/USD,20090531 21:35:36.516,1.41429,1.41449
EUR/USD,20090531 21:35:36.843,1.41425,1.41445
EUR/USD,20090531 21:35:50.343,1.41434,1.41465
EUR/USD,20090531 21:35:51.801,1.41434,1.41459
EUR/USD,20090531 21:35:51.843,1.41431,1.41459
EUR/USD,20090531 21:36:27.041,1.41451,1.41459
EUR/USD,20090531 21:36:27.348,1.41452,1.41459
EUR/USD,20090531 21:36:32.350,1.41431,1.41459
EUR/USD,20090531 21:36:35.346,1.41434,1.41459
EUR/USD,20090531 21:36:37.021,1.41434,1.41449
EUR/USD,20090531 21:36:37.281,1.41425,1.41445
EUR/USD,20090531 21:36:50.489,1.41427,1.41447
EUR/USD,20090531 21:37:01.287,1.41424,1.41444
EUR/USD,20090531 21:37:01.739,1.41422,1.41442
EUR/USD,20090531 21:37:10.495,1.41423,1.41442
EUR/USD,20090531 21:37:12.769,1.41423,1.41439
EUR/USD,20090531 21:37:12.783,1.41422,1.41438
EUR/USD,20090531 21:37:20.788,1.41408,1.41423
EUR/USD,20090531 21:37:25.284,1.41408,1.4143
EUR/USD,20090531 21:37:31.767,1.41408,1.41429
EUR/USD,20090531 21:37:31.783,1.41408,1.41421
EUR/USD,20090531 21:38:09.033,1.4139,1.41399
EUR/USD,20090531 21:38:09.288,1.41373,1.41392
EUR/USD,20090531 21:38:11.284,1.41379,1.41398
EUR/USD,20090531 21:38:15.785,1.41376,1.41395
EUR/USD,20090531 21:38:20.529,1.41375,1.41395
EUR/USD,20090531 21:39:01.024,1.41401,1.41429
EUR/USD,20090531 21:39:01.288,1.41402,1.41422
EUR/USD,20090531 21:39:07.785,1.41405,1.41425
EUR/USD,20090531 21:39:10.559,1.41405,1.41424
EUR/USD,20090531 21:39:13.519,1.41411,1.41424
EUR/USD,20090531 21:39:13.820,1.41411,1.41426
EUR/USD,20090531 21:39:14.777,1.4141,1.41426
EUR/USD,20090531 21:39:14.820,1.41381,1.41409
EUR/USD,20090531 21:39:17.287,1.41378,1.41402
EUR/USD,20090531 21:39:18.520,1.41381,1.41402
EUR/USD,20090531 21:39:18.786,1.41385,1.41405
EUR/USD,20090531 21:39:26.287,1.41378,1.41402
EUR/USD,20090531 21:42:40.276,1.41374,1.41399
EUR/USD,20090531 21:42:40.298,1.41364,1.41399
EUR/USD,20090531 21:42:46.264,1.41371,1.41399
EUR/USD,20090531 21:42:46.276,1.41378,1.41402
EUR/USD,20090531 21:42:48.777,1.41364,1.41399
EUR/USD,20090531 21:42:51.769,1.41371,1.41399
EUR/USD,20090531 21:42:51.778,1.41378,1.41402
EUR/USD,20090531 21:42:53.279,1.41364,1.41399
EUR/USD,20090531 21:42:53.781,1.41364,1.41396
EUR/USD,20090531 21:42:55.457,1.41364,1.41371
EUR/USD,20090531 21:42:55.529,1.41364,1.41369
EUR/USD,20090531 21:42:55.776,1.41352,1.41368
EUR/USD,20090531 21:43:00.776,1.41364,1.41371
EUR/USD,20090531 21:43:00.808,1.41364,1.41396
EUR/USD,20090531 21:43:13.776,1.41364,1.41399
EUR/USD,20090531 21:43:14.278,1.41343,1.41352
EUR/USD,20090531 21:43:14.518,1.41351,1.41352
EUR/USD,20090531 21:43:14.780,1.41364,1.41396
EUR/USD,20090531 21:43:19.276,1.41364,1.41399
EUR/USD,20090531 21:43:30.777,1.41364,1.41396
EUR/USD,20090531 21:43:36.266,1.41364,1.41369
EUR/USD,20090531 21:43:36.777,1.41352,1.41368
EUR/USD,20090531 21:43:47.531,1.41343,1.41349
EUR/USD,20090531 21:43:50.027,1.41343,1.41352
EUR/USD,20090531 21:43:50.277,1.41348,1.41367
EUR/USD,20090531 21:43:52.021,1.41351,1.41367
EUR/USD,20090531 21:43:52.280,1.41352,1.41368
EUR/USD,20090531 21:43:53.277,1.41348,1.41367
EUR/USD,20090531 21:43:54.516,1.41348,1.41349
EUR/USD,20090531 21:43:54.778,1.41343,1.41349
EUR/USD,20090531 21:43:55.525,1.41343,1.41352
EUR/USD,20090531 21:43:55.777,1.41348,1.41367
EUR/USD,20090531 21:43:56.779,1.41343,1.41365
EUR/USD,20090531 21:44:00.278,1.41359,1.41397
EUR/USD,20090531 21:44:01.277,1.41358,1.41393
EUR/USD,20090531 21:44:04.277,1.41359,1.41397
EUR/USD,20090531 21:44:15.264,1.41359,1.41369
EUR/USD,20090531 21:44:15.278,1.41343,1.41345
EUR/USD,20090531 21:44:56.795,1.41343,1.41353
EUR/USD,20090531 21:45:02.295,1.41343,1.41345
EUR/USD,20090531 21:45:17.296,1.41307,1.41334
EUR/USD,20090531 21:45:26.265,1.41312,1.41339
EUR/USD,20090531 21:45:26.795,1.41307,1.41334
EUR/USD,20090531 21:45:29.298,1.41306,1.41339
EUR/USD,20090531 21:45:32.298,1.41295,1.41333
EUR/USD,20090531 21:45:38.299,1.4129,1.41325
EUR/USD,20090531 21:46:29.266,1.41291,1.41319
EUR/USD,20090531 21:46:30.266,1.41305,1.41325
EUR/USD,20090531 21:46:30.771,1.41308,1.41328
EUR/USD,20090531 21:46:31.766,1.41291,1.41319
EUR/USD,20090531 21:46:32.765,1.4129,1.41325
EUR/USD,20090531 21:46:38.520,1.41301,1.41325
EUR/USD,20090531 21:46:38.767,1.41302,1.41321
EUR/USD,20090531 21:46:40.767,1.41287,1.41314
EUR/USD,20090531 21:47:10.267,1.41294,1.41326
EUR/USD,20090531 21:47:10.772,1.4129,1.41325
EUR/USD,20090531 21:47:19.267,1.41291,1.41319
EUR/USD,20090531 21:47:23.767,1.41296,1.41324
EUR/USD,20090531 21:47:26.267,1.41301,1.41324
EUR/USD,20090531 21:47:26.267,1.41305,1.41325
EUR/USD,20090531 21:47:33.767,1.41291,1.41319
EUR/USD,20090531 21:47:39.269,1.41288,1.41312
EUR/USD,20090531 21:47:39.516,1.41288,1.41309
EUR/USD,20090531 21:47:39.768,1.41288,1.41289
EUR/USD,20090531 21:47:39.769,1.41279,1.41289
EUR/USD,20090531 21:47:39.897,1.41281,1.41289
EUR/USD,20090531 21:47:40.022,1.41279,1.41289
EUR/USD,20090531 21:47:40.272,1.41269,1.41287
EUR/USD,20090531 21:47:46.767,1.41269,1.41279
EUR/USD,20090531 21:47:47.268,1.41265,1.41279
EUR/USD,20090531 21:47:48.026,1.41265,1.41269
EUR/USD,20090531 21:47:48.270,1.41261,1.41269
EUR/USD,20090531 21:47:52.523,1.4126,1.41272
EUR/USD,20090531 21:47:52.768,1.41253,1.41272
EUR/USD,20090531 21:47:54.268,1.41256,1.41275
EUR/USD,20090531 21:47:54.776,1.41256,1.41269
EUR/USD,20090531 21:47:55.291,1.41252,1.41268
EUR/USD,20090531 21:47:56.270,1.41201,1.41249
EUR/USD,20090531 21:47:56.271,1.41218,1.41243
EUR/USD,20090531 21:47:59.769,1.4125,1.41259
EUR/USD,20090531 21:48:00.033,1.4125,1.41262
EUR/USD,20090531 21:48:00.275,1.41259,1.41269
EUR/USD,20090531 21:48:00.770,1.41254,1.41269
EUR/USD,20090531 21:48:03.771,1.4125,1.41262
EUR/USD,20090531 21:48:03.777,1.4125,1.41259
EUR/USD,20090531 21:48:08.520,1.4125,1.41262
EUR/USD,20090531 21:48:08.768,1.41254,1.41269
EUR/USD,20090531 21:48:14.770,1.41254,1.41259
EUR/USD,20090531 21:48:14.770,1.4125,1.41259
EUR/USD,20090531 21:48:16.773,1.41221,1.41251
EUR/USD,20090531 21:48:19.771,1.41225,1.41259
EUR/USD,20090531 21:48:20.272,1.41237,1.41263
EUR/USD,20090531 21:48:23.519,1.41237,1.41249
EUR/USD,20090531 21:48:23.771,1.41229,1.41248
EUR/USD,20090531 21:48:30.271,1.41226,1.41258
EUR/USD,20090531 21:48:32.271,1.41252,1.41268
EUR/USD,20090531 21:48:49.274,1.41237,1.41264
EUR/USD,20090531 21:48:54.270,1.41238,1.41262
EUR/USD,20090531 21:48:55.270,1.41238,1.41259
EUR/USD,20090531 21:48:55.270,1.41235,1.41255
EUR/USD,20090531 21:48:56.019,1.41251,1.41255
EUR/USD,20090531 21:48:56.276,1.41251,1.41259
EUR/USD,20090531 21:48:57.020,1.41251,1.41261
EUR/USD,20090531 21:48:57.270,1.41249,1.41261
EUR/USD,20090531 21:48:57.273,1.41232,1.41248
EUR/USD,20090531 21:49:08.770,1.41234,1.4125
EUR/USD,20090531 21:49:10.272,1.41239,1.41258
EUR/USD,20090531 21:49:10.518,1.41239,1.41249
EUR/USD,20090531 21:49:10.770,1.41234,1.41249
EUR/USD,20090531 21:49:24.771,1.41232,1.41248
EUR/USD,20090531 21:49:28.270,1.41229,1.41248
EUR/USD,20090531 21:49:31.769,1.41231,1.41248
EUR/USD,20090531 21:49:31.773,1.41232,1.41248
EUR/USD,20090531 21:49:40.270,1.41229,1.41248
EUR/USD,20090531 21:49:42.770,1.41226,1.41245
EUR/USD,20090531 21:49:43.273,1.41218,1.41242
EUR/USD,20090531 21:50:32.767,1.41221,1.41242
EUR/USD,20090531 21:50:32.772,1.41225,1.41245
EUR/USD,20090531 21:51:19.773,1.41234,1.41266
